Order Date,Sales,Profit
17-10-2023,5175.171,919.971
07-11-2021,1822.08,564.84
14-04-2022,5244.84,996.48
06-06-2023,3701.52,1036.08
25-02-2022,1878.72,582.36
10-01-2021,2875.095,511.095
22-08-2023,3200.5962,-77.2038
28-08-2024,2761.2,110.34
01-05-2024,2174.13,500.01
30-05-2022,1526.52,732.72
05-08-2024,4191.507,1164.267
11-03-2024,3063.27,581.91
18-01-2024,5049,656.37
16-05-2024,2863.35,858.9
28-10-2021,2301,91.95
18-09-2022,2487.8088,-269.7912
28-10-2023,3728.43,1192.86
12-12-2023,1581.48,0
26-12-2023,3739.176,747.816
18-04-2023,1601.64,587.19
24-05-2021,3670.8,367.08
31-05-2023,1455.12,116.4
01-10-2023,1943.19,258.93
19-12-2024,1954.17,312.66
07-11-2023,2330.64,1025.46
11-01-2022,3637.602,156.402
14-06-2022,1024.68,-286.92
25-10-2022,1583.7,174.15
11-03-2023,2892.105,160.605
02-10-2023,3000.78,1080.18
14-03-2024,3569.643,674.163
09-07-2024,2910.0816,125.1216
17-03-2024,2645.376,-0.024
02-01-2023,1637.01,-36.39
10-10-2022,2645.376,-0.024
26-12-2022,1788.822,204.282
01-05-2023,1242.585,-140.715
03-12-2024,2673.36,1069.2
25-06-2023,2046.195,591.045
12-07-2024,1722.2832,539.4432
10-06-2024,1433.8395,-84.3705
19-07-2021,2555.64,664.44
31-10-2024,2272.86,977.22
25-07-2023,5211.12,833.76
03-12-2023,1704.996,378.876
21-05-2021,2539.8765,709.9365
28-12-2021,1066.68,394.65
17-04-2024,1275,140.22
07-11-2024,3309.2598,318.8598
25-11-2021,1336.356,44.436
10-08-2022,3038.64,1245.84
04-10-2022,2756.34,413.28
26-03-2024,1421.541,428.121
16-05-2024,1900.584,-348.516
15-06-2021,1296.24,285.12
28-08-2024,1682.91,487.98
11-10-2024,1029.2589,10.8189
12-06-2023,5751.54,2817.99
13-06-2023,1479.3138,-63.6462
22-09-2024,1282.23,12.69
24-06-2024,5486.67,2316.51
09-08-2022,1226.19,612.99
21-02-2023,1809.255,-258.495
07-01-2023,2993.025,726.825
11-02-2024,1027.728,182.688
29-05-2024,1703.025,737.925
16-04-2024,1803.0837,-130.3863
12-07-2024,2190.75,65.7
